"Activity" "Subject" "tBdAc_mean_X" "tBdAc_mean_Y" "tBdAc_mean_Z" "tBdAc_std_X" "tBdAc_std_Y" "tBdAc_std_Z" "tGrAc_mean_X" "tGrAc_mean_Y" "tGrAc_mean_Z" "tGrAc_std_X" "tGrAc_std_Y" "tGrAc_std_Z" "tBdAcJk_mean_X" "tBdAcJk_mean_Y" "tBdAcJk_mean_Z" "tBdAcJk_std_X" "tBdAcJk_std_Y" "tBdAcJk_std_Z" "tBdGy_mean_X" "tBdGy_mean_Y" "tBdGy_mean_Z" "tBdGy_std_X" "tBdGy_std_Y" "tBdGy_std_Z" "tBdGyJk_mean_X" "tBdGyJk_mean_Y" "tBdGyJk_mean_Z" "tBdGyJk_std_X" "tBdGyJk_std_Y" "tBdGyJk_std_Z" "tBdAcM_mean" "tBdAcM_std" "tGrAcM_mean" "tGrAcM_std" "tBdAcJkM_mean" "tBdAcJkM_std" "tBdGyM_mean" "tBdGyM_std" "tBdGyJkM_mean" "tBdGyJkM_std" "fBdAc_mean_X" "fBdAc_mean_Y" "fBdAc_mean_Z" "fBdAc_std_X" "fBdAc_std_Y" "fBdAc_std_Z" "fBdAcJk_mean_X" "fBdAcJk_mean_Y" "fBdAcJk_mean_Z" "fBdAcJk_std_X" "fBdAcJk_std_Y" "fBdAcJk_std_Z" "fBdGy_mean_X" "fBdGy_mean_Y" "fBdGy_mean_Z" "fBdGy_std_X" "fBdGy_std_Y" "fBdGy_std_Z" "fBdAcM_mean" "fBdAcM_std" "fBdAcJkM_mean" "fBdAcJkM_std" "fBdGyM_mean" "fBdGyM_std" "fBdGyJkM_mean" "fBdGyJkM_std"
"lying" 11 0.28059297 -0.01765981 -0.10878658 -0.98477733 -0.97219687 -0.97131118 -0.13483203 0.94301794 0.11262019 -0.9795656 -0.99076558 -0.98419261 0.07666453 0.01221939 0.00277691 -0.98525911 -0.97277746 -0.98211178 -0.01917438 -0.04155999 0.15201902 -0.98083688 -0.98244264 -0.95989743 -0.1022975 -0.04123914 -0.06669575 -0.98172484 -0.99084572 -0.98654906 -0.98062118 -0.97289183 -0.98062118 -0.97289183 -0.98333063 -0.97650486 -0.95252375 -0.95471318 -0.99064125 -0.98447648 -0.98380137 -0.97140394 -0.97357681 -0.98532221 -0.97358929 -0.97166808 -0.98488487 -0.9738825 -0.97956484 -0.98712268 -0.97348672 -0.98330295 -0.97618747 -0.98264027 -0.96143442 -0.98242459 -0.98266063 -0.9631839 -0.973994 -0.9760377 -0.97694077 -0.97512653 -0.96709336 -0.95484905 -0.98597884 -0.98356947
"lying" 12 0.26011343 -0.01752039 -0.10816013 -0.95531868 -0.94907201 -0.94833384 -0.37859207 0.80337883 0.2750432 -0.93645831 -0.97439649 -0.95964396 0.08542954 0.00774408 -0.00437148 -0.96927628 -0.96263953 -0.97062931 -0.01465468 -0.08355374 0.14519185 -0.96609074 -0.95387389 -0.95015744 -0.09904023 -0.04106753 -0.0678909 -0.9671982 -0.96590037 -0.96995393 -0.94820468 -0.93654269 -0.94820468 -0.93654269 -0.96984383 -0.96258092 -0.93084059 -0.93572572 -0.97106777 -0.96201202 -0.95624849 -0.95126597 -0.9547248 -0.95520764 -0.95064004 -0.94838083 -0.96874276 -0.96322333 -0.9671497 -0.97282001 -0.96470366 -0.97271384 -0.95665389 -0.95256172 -0.94567324 -0.96925459 -0.95534368 -0.95642438 -0.94386744 -0.94213326 -0.96244842 -0.961653 -0.94549702 -0.94037383 -0.96394961 -0.96191161
"lying" 13 0.27671636 -0.02044045 -0.10433186 -0.96889199 -0.95094795 -0.950393 -0.15685221 0.65640094 0.59888499 -0.95787524 -0.97594814 -0.95989286 0.07677748 0.01834419 -0.0098839 -0.98541995 -0.98015234 -0.98307066 -0.0097361 -0.09662507 0.11781961 -0.97214347 -0.96270462 -0.96735051 -0.10183557 -0.0417744 -0.06487704 -0.98140474 -0.97885475 -0.98980155 -0.96051777 -0.94794475 -0.96051777 -0.94794475 -0.98546785 -0.98006624 -0.94430311 -0.94468748 -0.98544626 -0.97511331 -0.97471692 -0.96584376 -0.96629558 -0.96696009 -0.94746233 -0.94585214 -0.98519968 -0.98037514 -0.9809946 -0.98707818 -0.98139426 -0.98367005 -0.96946349 -0.96868973 -0.96912688 -0.97344679 -0.95994413 -0.96979721 -0.95953549 -0.94943132 -0.98075439 -0.97804435 -0.95768162 -0.94613343 -0.97815081 -0.97279863
"lying" 14 0.23327544 -0.01134247 -0.08683333 -0.91750189 -0.90969704 -0.90033192 -0.14548363 0.48539693 0.83656291 -0.86213694 -0.94877486 -0.90130386 0.09814038 -0.00831507 -0.03236015 -0.97147356 -0.96812762 -0.97243186 0.00505221 -0.15342381 0.14912406 -0.95722102 -0.93249978 -0.95229697 -0.10544664 -0.03726774 -0.05661719 -0.97027496 -0.96804289 -0.97971137 -0.90597825 -0.85659312 -0.90597825 -0.85659312 -0.97257639 -0.96645091 -0.90466542 -0.91343319 -0.97562118 -0.96400992 -0.93393618 -0.93036691 -0.92788231 -0.91197266 -0.90522105 -0.89405571 -0.97201071 -0.96934212 -0.9685932 -0.97349139 -0.96911329 -0.97491443 -0.94995904 -0.9380879 -0.94910716 -0.95974049 -0.92995541 -0.95779048 -0.89946367 -0.85960605 -0.9679886 -0.96360743 -0.93015173 -0.9177601 -0.96645534 -0.96366602
"lying" 15 0.28947565 -0.01662965 -0.11853024 -0.97225555 -0.96275942 -0.92958684 -0.17199305 0.89924255 -0.03691929 -0.96150974 -0.98603619 -0.95071036 0.07675154 0.01239843 -0.00443928 -0.98173939 -0.97092159 -0.97840296 -0.01683009 -0.06197009 0.1134519 -0.95716768 -0.96114291 -0.95653705 -0.10226671 -0.0415879 -0.06243346 -0.97392395 -0.98048283 -0.98011273 -0.95534066 -0.94331411 -0.95534066 -0.94331411 -0.97989023 -0.97364446 -0.94460513 -0.92404301 -0.98323503 -0.97365004 -0.97401618 -0.96246112 -0.95156595 -0.97171882 -0.96459043 -0.92392399 -0.98133 -0.97083322 -0.97477568 -0.98394929 -0.97321532 -0.9807451 -0.9554136 -0.96431089 -0.9581901 -0.9582245 -0.95999191 -0.96001583 -0.95600103 -0.94550856 -0.97368122 -0.97253008 -0.94681264 -0.92368224 -0.97572785 -0.97264571
"lying" 16 0.27422716 -0.01661035 -0.10731049 -0.97369143 -0.94306115 -0.96549028 -0.20678374 -0.01992702 0.89388447 -0.96376198 -0.9660871 -0.967886 0.07839603 0.01328051 -0.00154105 -0.98841672 -0.98486729 -0.98764413 -0.01615454 -0.11367506 0.09662103 -0.97701077 -0.97074751 -0.98478148 -0.10220957 -0.03477353 -0.05767904 -0.98583546 -0.98904658 -0.99446516 -0.96183463 -0.95789593 -0.96183463 -0.95789593 -0.98834966 -0.987891 -0.9517771 -0.95902004 -0.99083953 -0.98821243 -0.98021319 -0.96363558 -0.97458007 -0.97140908 -0.93708364 -0.96252437 -0.98858005 -0.98475293 -0.98554495 -0.98928736 -0.98621501 -0.9883489 -0.97589241 -0.97609292 -0.98595779 -0.97750958 -0.96813525 -0.985731 -0.96802052 -0.9581119 -0.98751453 -0.98724716 -0.97024964 -0.95897508 -0.98869528 -0.9880584
"lying" 17 0.26978009 -0.0168462 -0.10700628 -0.97296057 -0.94479288 -0.9534767 -0.19913309 0.65879207 0.7226575 -0.96106322 -0.96146668 -0.95716457 0.07790897 0.00706867 -0.00014354 -0.98148902 -0.97696054 -0.982813 -0.02347565 -0.09445802 0.11144049 -0.97589306 -0.97148434 -0.97620077 -0.10204976 -0.03619611 -0.0604927 -0.98079237 -0.9831356 -0.98822171 -0.95302141 -0.94825799 -0.95302141 -0.94825799 -0.98160763 -0.98012675 -0.96073312 -0.9593255 -0.98554241 -0.98203812 -0.97435928 -0.9546481 -0.96540609 -0.97243853 -0.94279162 -0.95011696 -0.98147207 -0.97721239 -0.98038006 -0.98321324 -0.97834392 -0.98385416 -0.97194921 -0.9736691 -0.97616485 -0.9772035 -0.97062781 -0.97835713 -0.96104633 -0.94904253 -0.97968732 -0.97965723 -0.96901444 -0.96002384 -0.98276553 -0.98198344
"lying" 18 0.27469158 -0.01739377 -0.10769893 -0.98452765 -0.98616092 -0.98765866 -0.22060051 0.7197554 0.60549532 -0.98271599 -0.99409352 -0.99095725 0.0749985 0.0117019 -0.00121345 -0.98592107 -0.98555434 -0.99066025 -0.02517618 -0.08375873 0.09377819 -0.9928726 -0.98420287 -0.98510839 -0.09971542 -0.03934402 -0.0593136 -0.99610444 -0.99054764 -0.9925481 -0.98645624 -0.98646454 -0.98645624 -0.98646454 -0.98832154 -0.98952628 -0.98074085 -0.98056088 -0.99309512 -0.99215305 -0.98517997 -0.98490988 -0.98860691 -0.98432186 -0.98674645 -0.9872248 -0.98640471 -0.98586533 -0.98911687 -0.98664125 -0.9862107 -0.99074475 -0.99243693 -0.98561117 -0.98499929 -0.99301937 -0.98345777 -0.98648305 -0.98678841 -0.98764848 -0.98854842 -0.98971066 -0.98432909 -0.98146884 -0.99190101 -0.99273796
"lying" 19 0.27265373 -0.01714269 -0.10898146 -0.96501958 -0.97344997 -0.98467284 -0.68004316 0.72564662 0.68762385 -0.95895961 -0.98699315 -0.98881903 0.0772318 0.01114957 -0.00098869 -0.98360522 -0.97452452 -0.98826018 -0.03120727 -0.0952628 0.10860511 -0.98135761 -0.96361771 -0.97319752 -0.09560183 -0.03714766 -0.05991615 -0.97610566 -0.98460773 -0.98695836 -0.96626081 -0.96319349 -0.96626081 -0.96319349 -0.98478434 -0.98066829 -0.95326343 -0.95590665 -0.9853425 -0.98024551 -0.97453373 -0.97279882 -0.98534045 -0.962085 -0.97483208 -0.984741 -0.98347856 -0.97487827 -0.98650649 -0.98527801 -0.97596411 -0.9885587 -0.97419622 -0.972061 -0.97393233 -0.9839448 -0.95983137 -0.97541752 -0.9719574 -0.96405677 -0.98062156 -0.97945219 -0.96562472 -0.95749602 -0.98189047 -0.97932785
"lying" 20 0.23950788 -0.01444063 -0.10427432 -0.96224911 -0.96409818 -0.972572 -0.47243142 0.86488296 0.4775733 -0.92867422 -0.97601848 -0.97651855 0.0892716 0.00110822 -0.00309892 -0.98427073 -0.97700261 -0.98498922 -0.02317606 -0.09548996 0.12368021 -0.98447741 -0.97294191 -0.97240989 -0.09950331 -0.0387763 -0.06100283 -0.98928358 -0.98154006 -0.98667053 -0.96074313 -0.93948944 -0.96074313 -0.93948944 -0.98467007 -0.98016169 -0.96044737 -0.9621536 -0.9867495 -0.9810793 -0.96572878 -0.96559596 -0.97639265 -0.96099791 -0.96496099 -0.97190132 -0.98388999 -0.97722071 -0.98287621 -0.98621388 -0.97845145 -0.98570781 -0.9826194 -0.97312003 -0.9722786 -0.98515459 -0.97309252 -0.97499527 -0.95282707 -0.94189409 -0.97969546 -0.9795652 -0.96983224 -0.96420592 -0.98111982 -0.98198615
"lying" 21 0.27132547 -0.0184233 -0.10325383 -0.95501987 -0.95695942 -0.94565379 -0.17434917 0.59999268 0.78825103 -0.94590527 -0.98373294 -0.95241633 0.08201502 0.01199437 -0.01390534 -0.98482652 -0.97158475 -0.98397764 -0.03051262 -0.11380049 0.09809065 -0.97541186 -0.95214709 -0.98134543 -0.09641184 -0.03462751 -0.06013987 -0.98464372 -0.9819985 -0.9887495 -0.95259658 -0.94218643 -0.95259658 -0.94218643 -0.98280033 -0.97855262 -0.94927889 -0.94928915 -0.98591591 -0.98224647 -0.96823438 -0.96006925 -0.96177219 -0.95092945 -0.95725897 -0.94091901 -0.98418884 -0.97203942 -0.98163081 -0.98706138 -0.97316443 -0.98492527 -0.97341047 -0.96496801 -0.98081122 -0.97622692 -0.94659986 -0.98327071 -0.95376907 -0.94444907 -0.97844412 -0.97760488 -0.96234901 -0.94973658 -0.98299332 -0.98230512
"lying" 22 0.27995972 -0.01426299 -0.11080092 -0.94773525 -0.9132763 -0.94294581 -0.41849458 0.63248408 0.77190391 -0.92878125 -0.95882694 -0.95243539 0.07522022 0.00459835 -0.00467439 -0.97035519 -0.95515153 -0.97452701 -0.02083114 -0.09257231 0.14500388 -0.95664191 -0.96188496 -0.93325187 -0.10020393 -0.03760873 -0.07027236 -0.9720926 -0.98048417 -0.9786363 -0.9349938 -0.90940776 -0.9349938 -0.90940776 -0.97116978 -0.95984982 -0.92661637 -0.92391157 -0.98171694 -0.97420169 -0.95375854 -0.9255247 -0.95421924 -0.94565681 -0.91256286 -0.94116395 -0.96957033 -0.95483326 -0.97091894 -0.97412607 -0.95896096 -0.97683316 -0.95336692 -0.96469826 -0.94257024 -0.95803099 -0.96071125 -0.93696564 -0.92981899 -0.91326725 -0.96265479 -0.95563561 -0.94605584 -0.92355236 -0.97663898 -0.97278902
"lying" 23 0.27403801 -0.02165538 -0.10425678 -0.95675636 -0.97630983 -0.9732235 -0.39156496 0.43843407 0.91878283 -0.94794876 -0.98279456 -0.97678046 0.08317876 0.01535144 -0.00628235 -0.98636045 -0.98861162 -0.98466348 -0.01133997 -0.10505292 0.11107859 -0.9818494 -0.95919524 -0.98392013 -0.10202492 -0.03724498 -0.06219916 -0.98502785 -0.97942776 -0.99490898 -0.9629592 -0.95787199 -0.9629592 -0.95787199 -0.9870102 -0.98668565 -0.949418 -0.95722759 -0.98455748 -0.98131483 -0.97003724 -0.9820723 -0.97751521 -0.95241096 -0.97430415 -0.97226128 -0.98620466 -0.98823026 -0.98241551 -0.98784085 -0.98999562 -0.98550201 -0.97967608 -0.96846914 -0.98423881 -0.98266521 -0.95499731 -0.98531784 -0.96774705 -0.9584657 -0.9859057 -0.9865402 -0.96623935 -0.95902554 -0.98184685 -0.98158514
"lying" 24 0.27285049 -0.01735552 -0.10723624 -0.96798402 -0.98312646 -0.97356696 -0.35929253 0.7384307 0.68383991 -0.96041216 -0.99345436 -0.97923967 0.08072123 0.01198195 -0.00589226 -0.98636543 -0.9824305 -0.98308737 -0.01436799 -0.09555381 0.11173075 -0.98265172 -0.96029955 -0.98170136 -0.10281381 -0.03823237 -0.0624117 -0.97986572 -0.97809131 -0.9923816 -0.97185404 -0.96935483 -0.97185404 -0.96935483 -0.98552927 -0.98360593 -0.95379151 -0.95782993 -0.98278087 -0.9786591 -0.97589369 -0.98083036 -0.97663482 -0.96516708 -0.98457181 -0.97305778 -0.98599855 -0.98214061 -0.98154969 -0.98814052 -0.98412453 -0.98318564 -0.97657056 -0.96611198 -0.98109304 -0.98471328 -0.95779295 -0.98360275 -0.97317107 -0.97106302 -0.98310808 -0.98328512 -0.96400138 -0.96136908 -0.97859674 -0.98009698
"lying" 25 0.25079183 -0.01889437 -0.10042883 -0.90911647 -0.69177068 -0.717262 -0.46110253 0.62065892 0.52635382 -0.82955495 -0.64357836 -0.61016117 0.08790717 0.02846193 -0.03071794 -0.97332341 -0.94568717 -0.96783553 0.00372723 -0.07164017 0.13971867 -0.88976964 -0.9366308 -0.91092799 -0.101647 -0.04267189 -0.05969221 -0.95738115 -0.97156432 -0.97424225 -0.56047778 -0.64925477 -0.56047778 -0.64925477 -0.96216136 -0.96193161 -0.80968855 -0.85601737 -0.96978326 -0.96830952 -0.92914737 -0.78494582 -0.81619795 -0.90254771 -0.67238426 -0.69410037 -0.97285909 -0.946802 -0.96263267 -0.97642398 -0.94841429 -0.97188537 -0.89051754 -0.94625964 -0.92453686 -0.89130807 -0.93229333 -0.9154675 -0.77448194 -0.65135324 -0.96008315 -0.96360121 -0.91012699 -0.85066134 -0.96825161 -0.97045795
"lying" 26 0.27164586 -0.01918957 -0.10500254 -0.96944545 -0.98323135 -0.98450001 -0.62130972 0.80301501 0.61452341 -0.94447249 -0.987888 -0.98408171 0.08665025 0.012442 -0.00614755 -0.98931582 -0.98718289 -0.98906463 -0.01706562 -0.09032292 0.15243634 -0.9903282 -0.97932568 -0.96930224 -0.10036864 -0.03966827 -0.07115334 -0.99266515 -0.98906334 -0.99375984 -0.97678504 -0.96435519 -0.97678504 -0.96435519 -0.9899706 -0.98910195 -0.95186359 -0.96567682 -0.99219798 -0.98991735 -0.97326229 -0.98366403 -0.98492312 -0.96797189 -0.98331708 -0.98485449 -0.98922404 -0.98711508 -0.98730825 -0.99041011 -0.98823865 -0.98937049 -0.98838632 -0.983128 -0.97017122 -0.99097012 -0.97749184 -0.97178905 -0.96926911 -0.96657663 -0.98913818 -0.98790146 -0.97430518 -0.96613922 -0.99043091 -0.98962801
